2002-08-11-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_915 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_893 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_644 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_529 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-16-big-img_668 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1871 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_192 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_961 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_738 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-07-31-big-img_382 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_298 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_608 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_514 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_183 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-17-big-img_536 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_478 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-06-big-img_2997 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15380 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1153 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_967 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_711 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_664 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-01-big-img_326 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_775 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_961 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_77 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_296 : pred total 3, gt total 3, recall 2, miss 1, FP 1
2002-07-22-big-img_905 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2003-01-13-big-img_284 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2002-08-13-big-img_887 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_849 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-30-big-img_345 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_419 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-01-big-img_1347 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-05-big-img_3670 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-21-big-img_479 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_913 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-09-02-big-img_15828 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18194 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_471 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-22-big-img_734 : pred total 3, gt total 4, recall 2, miss 2, FP 1
2002-08-09-big-img_586 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_454 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_47 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-19-big-img_381 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_733 : pred total 4, gt total 5, recall 4, miss 1, FP 0
2002-08-20-big-img_327 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_96 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2680 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_919 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_158 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_801 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_567 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-24-big-img_804 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_690 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_576 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_335 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_390 : pred total 7, gt total 6, recall 6, miss 0, FP 1
2002-08-11-big-img_258 : pred total 6, gt total 6, recall 5, miss 1, FP 1
2002-07-23-big-img_917 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_525 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_505 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_886 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_640 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_642 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_844 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-04-big-img_571 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18702 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2003-01-15-big-img_240 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_553 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-10-big-img_354 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_17 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-15-big-img_782 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-27-big-img_382 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_970 : pred total 8, gt total 5, recall 5, miss 0, FP 3
2003-01-16-big-img_70 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2003-01-16-big-img_625 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_341 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_188 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-08-09-big-img_405 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_37 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_748 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-22-big-img_399 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_844 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-12-big-img_340 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_815 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_5 : pred total 9, gt total 10, recall 9, miss 1, FP 0
2002-08-10-big-img_158 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-18-big-img_95 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_1297 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_508 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16680 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-16-big-img_338 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_517 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-22-big-img_626 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-06-big-img_3024 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_499 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_387 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_18025 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_520 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_576 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_121 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-25-big-img_703 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-26-big-img_615 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_434 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_677 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-18-big-img_276 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-05-big-img_3672 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-26-big-img_700 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_277 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_220 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_232 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17422 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-22-big-img_508 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_681 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_638 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18408 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_533 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_12 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19388 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_133 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_885 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-19-big-img_387 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-27-big-img_19976 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-26-big-img_118 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19146 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3259 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_536 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_279 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-22-big-img_9 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_301 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_974 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2355 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_1526 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_417 : pred total 7, gt total 7, recall 7, miss 0, FP 0
2002-08-04-big-img_407 : pred total 5, gt total 6, recall 5, miss 1, FP 0
2002-08-15-big-img_1029 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_700 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1463 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17365 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_223 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-07-19-big-img_827 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_531 : pred total 4, gt total 2, recall 2, miss 0, FP 2
2002-07-19-big-img_845 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_382 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_268 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-27-big-img_19705 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_830 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_250 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_777 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_879 : pred total 5, gt total 5, recall 4, miss 1, FP 1
2002-08-26-big-img_20146 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-23-big-img_789 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2683 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-25-big-img_576 : pred total 3, gt total 3, recall 2, miss 1, FP 1
2002-08-09-big-img_498 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_384 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-26-big-img_592 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-29-big-img_1470 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_452 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18395 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2002-08-15-big-img_215 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_643 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-22-big-img_209 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_346 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_658 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-21-big-img_221 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_60 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_885 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_482 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-19-big-img_593 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_233 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_458 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_384 : pred total 10, gt total 10, recall 9, miss 1, FP 1
2003-01-15-big-img_670 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_267 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-26-big-img_540 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-29-big-img_552 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_997 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-17-big-img_377 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_265 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_561 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_945 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15252 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_276 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_491 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-07-26-big-img_517 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_726 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-08-big-img_46 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19458 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2935 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_1392 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_776 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_616 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_1065 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_889 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-18-big-img_188 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1453 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_760 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_416 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-07-big-img_1393 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-26-big-img_292 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_301 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_195 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_532 : pred total 7, gt total 9, recall 7, miss 2, FP 0
2002-08-20-big-img_550 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3658 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-26-big-img_738 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15750 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_451 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_339 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_637 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-14-big-img_748 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-08-06-big-img_2739 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-25-big-img_482 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-19-big-img_191 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-26-big-img_537 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-15-big-img_716 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_767 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_452 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-08-big-img_1011 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-10-big-img_144 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_122 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_586 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_762 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_369 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_146 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_396 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_200 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_1183 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2003-01-14-big-img_698 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_792 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-06-big-img_2347 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-31-big-img_911 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_722 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_621 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3790 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_633 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_224 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-07-24-big-img_454 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_202 : pred total 2, gt total 4, recall 2, miss 2, FP 0
2002-08-02-big-img_630 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-30-big-img_18315 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_491 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16456 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_242 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-07-25-big-img_595 : pred total 3, gt total 2, recall 2, miss 0, FP 1
